Taxon_Id,Species,?,Years (min),Years (max)
1008855,Cardamine flexuosa aggr.,41,1982,2022
1008880,Cardamine heptaphylla (Vill.) O. E. Schulz,2,1998,1998
1008890,Cardamine hirsuta L.,40,1876,2022
1008900,Cardamine impatiens L.,32,1982,2022
1008910,Cardamine kitaibelii Bech.,3,1998,2012
1008935,Cardamine occulta Hornem.,11,2015,2022
1008950,Cardamine pentaphyllos (L.) Crantz,3,1982,1998
1008990,Cardamine pratensis L.,4,2016,2022
1008970,Cardamine pratensis aggr.,46,1886,2022
1009050,Cardamine trifolia L.,5,1998,2018
1009060,Cardamine udicola Jord.,1,1950,1950
1009080,Cardaminopsis arenosa (L.) Hayek,6,1950,2014
1009090,Cardaminopsis arenosa (L.) Hayek subsp. arenosa,6,1950,2014
1009120,Cardaria draba (L.) Desv.,22,1982,2021
1009140,Carduus crispus L.,3,1983,2011
1009210,Carduus nutans L.,7,1885,1983
1009220,Carduus nutans L. subsp. nutans,7,1885,1983
1009240,Carduus personata (L.) Jacq.,3,1876,1998
1009280,Carex acuta L.,1,1995,1995
1009270,Carex acuta aggr.,6,1950,1998
1009290,Carex acutiformis Ehrh.,16,1982,2022
1009300,Carex alba Scop.,5,1876,2011
1009310,Carex appropinquata Schumach.,4,1950,1982
1009430,Carex brizoides L.,6,1950,2016
1009470,Carex buxbaumii Wahlenb.,2,1950,1966
1009510,Carex caryophyllea Latourr.,25,1886,2022
1009570,Carex davalliana Sm.,10,1877,2019
1009580,Carex demissa Hornem.,1,1966,1983
1009600,Carex diandra Schrank,1,1950,1950
1009610,Carex digitata L.,7,1961,2022
1009620,Carex dioica L.,1,1768,1982
1009630,Carex distans L.,8,1768,2016
1009640,Carex disticha Huds.,4,1950,1982
1009670,Carex divulsa Stokes,23,1886,2022
1009680,Carex echinata Murray,1,1950,1982
1009690,Carex elata All.,8,1950,1998
1009720,Carex ericetorum Pollich,2,1876,1966
1009760,Carex flacca Schreb.,30,1965,2022
1009780,Carex flava L.,4,1982,2019
1009770,Carex flava aggr.,17,1849,2019
1009830,Carex grayi Carey,2,1950,2002
1009880,Carex hirta L.,31,1886,2022
1009890,Carex hostiana DC.,3,1886,1982
1009900,Carex humilis Leyss.,1,1982,1998
1009940,Carex lasiocarpa Ehrh.,2,1950,1982
1009950,Carex leersii F. W. Schultz,6,1943,2022
1009960,Carex lepidocarpa Tausch,5,1876,1998
1009970,Carex leporina L.,5,1950,1998
1010040,Carex montana L.,9,1886,2019
1010060,Carex muricata aggr.,94,1876,2022
1010070,Carex nigra (L.) Reichard,6,1904,2019
1010090,Carex ornithopoda Willd.,8,1950,2016
1010110,Carex otrubae Podp.,3,1939,2017
1010120,Carex pairae F. W. Schultz,24,1982,2021
1010130,Carex pallescens L.,6,1982,2022
1010140,Carex panicea L.,14,1886,2022
1010150,Carex paniculata L.,7,1878,2021
1010170,Carex pauciflora Lightf.,0,1966,1966
1010190,Carex pendula Huds.,57,1982,2022
1010200,Carex pilosa Scop.,32,1899,2022
1010210,Carex pilulifera L.,2,1982,2021
1010250,Carex pseudocyperus L.,1,1768,1768
1010260,Carex pulicaris L.,3,1950,1982
1010270,Carex punctata Gaudin,2,1849,1892
1010290,Carex remota L.,24,1982,2022
1010310,Carex riparia Curtis,3,1768,1950
1010320,Carex rostrata Stokes,6,1768,2015
1010340,Carex sempervirens Vill.,2,2019,2019
1010350,Carex spicata Huds.,26,1876,2021
1010370,Carex strigosa Huds.,1,1982,1998
1010390,Carex sylvatica Huds.,58,1961,2022
1010400,Carex tomentosa L.,8,1768,1998
1010410,Carex umbrosa Host,1,1982,1998
1010430,Carex vesicaria L.,2,1973,1998
1010440,Carex viridula Michx.,6,1849,1982
1010460,Carex vulpinoidea Michx.,2,1950,1950
1010490,Carlina acaulis L.,2,1950,2019
1010510,Carlina acaulis subsp. caulescens (Lam.) Schübl. & G. Martens,1,1950,1950
1010560,Carlina vulgaris L.,3,1950,1998
1010550,Carlina vulgaris aggr.,4,1950,2020
1010580,Carpinus betulus L.,45,1961,2022
1010610,Carum carvi L.,15,1886,2020
1010630,Caryopteris ×clandonensis Simmonds,12,1998,1998
1010650,Catabrosa aquatica (L.) P. Beauv.,6,1887,1966
1010660,Catalpa bignonioides Walter,6,1998,2022
1010700,Catapodium rigidum (L.) C. E. Hubb.,25,1920,2021
1010710,Caucalis platycarpos L.,8,1950,1993
1010750,Celtis australis L.,11,1870,2021
1010760,Celtis occidentalis L.,1,2011,2011
1010790,Centaurea cyanus L.,9,1950,2022
1010820,Centaurea jacea L.,54,1886,2022
1010830,Centaurea jacea L. subsp. jacea,35,1982,2022
1010840,Centaurea jacea subsp. angustifolia Gremli,12,1950,1998
1010865,Centaurea jacea aggr.,81,1886,2022
1010890,Centaurea montana L.,14,1982,2020
1010900,Centaurea nemoralis Jord.,8,1950,2020
1010930,Centaurea nigrescens Willd.,14,1950,2021
1010950,Centaurea paniculata L.,2,1892,2022
1010940,Centaurea paniculata aggr.,13,1892,2022
1010980,Centaurea scabiosa L.,19,1950,2022
1010990,Centaurea scabiosa L. subsp. scabiosa,13,1982,2018
1011010,Centaurea scabiosa subsp. grinensis (Reut.) Nyman,2,1950,1950
1011030,Centaurea solstitialis L.,9,1892,1950
1011060,Centaurea stoebe L.,11,2013,2022
1011070,Centaurea stoebe L. subsp. stoebe,1,2013,2013
1011090,Centaurea stoebe subsp. australis (A. Kern.) Greuter,1,2021,2021
1011140,Centaurium erythraea Rafn,8,1950,2020
1011150,Centaurium pulchellum (Sw.) Druce,9,1879,1998
1011160,Centranthus angustifolius (Mill.) DC.,1,1876,1876
1011180,Centranthus ruber (L.) DC.,46,1998,2022
1011190,Cephalanthera damasonium (Mill.) Druce,33,1982,2021
1011200,Cephalanthera longifolia (L.) Fritsch,6,1886,2018
1011210,Cephalanthera rubra (L.) Rich.,10,1982,1999
1011270,Cerastium arvense L.,2,1876,1950
1011280,Cerastium arvense L. subsp. arvense,1,1950,1950
1011300,Cerastium arvense subsp. strictum (W. D. J. Koch) Schinz & R. Keller,1,1876,1876
1011330,Cerastium brachypetalum Pers.,9,1998,2016
1011340,Cerastium brachypetalum Pers. subsp. brachypetalum,9,1998,2016
1011390,Cerastium fontanum Baumg.,63,1884,2022
1011420,Cerastium fontanum subsp. vulgare (Hartm.) Greuter & Burdet,45,1884,2022
1011430,Cerastium glomeratum Thuill.,34,1982,2022
1011440,Cerastium glutinosum Fr.,26,1993,1998
1011500,Cerastium pumilum Curtis,14,1950,1998
1011490,Cerastium pumilum aggr.,42,1950,2011
1011510,Cerastium semidecandrum L.,17,1950,2020
1011520,Cerastium tomentosum L.,24,1876,2004
1011540,Ceratophyllum demersum L.,399,1950,2022
1011550,Ceratophyllum submersum L.,2,1973,2022
1011560,Ceratostigma plumbaginoides Bunge,2,1998,1998
1011580,Cercis siliquastrum L.,1,1892,1892
1011610,Cerinthe minor L.,1,1892,1892
1011630,Chaenomeles japonica (Thunb.) Spach,3,1998,2021
1011640,Chaenorrhinum minus (L.) Lange,42,1982,2022
1011670,Chaerophyllum aureum L.,9,1982,2017
1011680,Chaerophyllum bulbosum L.,5,1950,1998
1011710,Chaerophyllum hirsutum L.,12,1902,2015
1011700,Chaerophyllum hirsutum aggr.,12,1902,2015
1011720,Chaerophyllum temulum L.,38,1998,2022
1011755,Chamaecytisus hirsutus aggr.,1,1892,1892
1011780,Chamaecytisus supinus (L.) Link,1,1892,1892
1011840,Chelidonium majus L.,61,1876,2022
1011850,Chenopodium album L.,33,1982,2021
1011845,Chenopodium album aggr.,80,1950,2021
1011865,Chenopodium berlandieri Moq.,5,1950,1950
1011880,Chenopodium bonus-henricus L.,5,1950,2020
1011890,Chenopodium botrys L.,1,1982,1982
1011910,Chenopodium ficifolium Sm.,28,1998,2021
