City,Family,Genus,Sp2,Sp.merge,native_exotic,pollination_mode,Flowering_months_duration,start_flowering,growth_form_category,plant_height_m,inflorescence,structural_blossom_class,symmetry,nectar,pollen,oil
Pa,Brassicaceae,Matthiola,tricuspidata,Matthiola tricuspidata,N,biotic,6,5,herb,0.2,1,dish_bowl,actinomorph,1,1,0
Zu,Papaveraceae,Meconopsis,cambrica,Meconopsis cambrica,N,biotic,3,6,herb,0.75,0,dish_bowl,actinomorph,0,1,0
Zu,Fabaceae,Medicago,arabica,Medicago arabica,N,biotic,3,4,herb,0.33,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,arborea,Medicago arborea,N,biotic,5,5,shrub,2.5,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,doliata,Medicago doliata,N,biotic,2,5,herb,,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Medicago,lupulina,Medicago lupulina,N,biotic,5,5,herb,0.8,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,marina,Medicago marina,N,biotic,3,5,herb,0.4,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,minima,Medicago minima,N,biotic,2,5,herb,0.2,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Medicago,sativa,Medicago sativa,N,biotic,3,6,herb,1.2,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,scutellata,Medicago scutellata,N,biotic,NA,6,herb,0.38,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Medicago,suffruticosa,Medicago suffruticosa,N,biotic,NA,6,herb,,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Medicago,x varia,Medicago x varia,N,biotic,4,5,herb,0.55,1,flag,sigomorph,1,1,0
Pa,Asteraceae,Melampodium,montanum,Melampodium montanum,E,biotic,NA,NA,herb,,1,dish_bowl,actinomorph,1,1,0
Zu,Fabaceae,Melilotus,albus,Melilotus albus,N,biotic,3,6,herb,1.5,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Melilotus,altissimus,Melilotus altissimus,N,biotic,3,7,herb,0.93,1,flag,sigomorph,1,1,0
Pa,Fabaceae,Melilotus,indicus,Melilotus indicus,E,biotic,2,6,herb,0.3,1,flag,sigomorph,1,1,0
Zu,Fabaceae,Melilotus,officinalis,Melilotus officinalis,N,biotic,5,6,herb,2.5,1,flag,sigomorph,1,1,0
Zu,Lamiaceae,Melissa,officinalis,Melissa officinalis,N,biotic,3,6,herb,1.5,1,gullet,sigomorph,1,1,0
Zu,Lamiaceae,Mentha,aquatica,Mentha aquatica,N,biotic,4,7,herb,0.9,1,gullet,sigomorph,1,1,0
Pa,Lamiaceae,Mentha,cervina,Mentha cervina,N,biotic,4,7,herb,0.3,1,gullet,sigomorph,1,1,0
Zu,Lamiaceae,Mentha,longifolia,Mentha longifolia,N,biotic,3,7,herb,0.9,1,gullet,sigomorph,1,1,0
Zu,Lamiaceae,Mentha,pulegium,Mentha pulegium,N,biotic,3,7,herb,0.4,1,gullet,sigomorph,1,1,0
Zu,Lamiaceae,Mentha,requienii,Mentha requienii,N,biotic,3,7,herb,0.04,1,gullet,sigomorph,1,1,0
