plant species;plant family;plant genus;additional information;community studied;literature source 1;link 1;literature source 2;link 2;literature source 3;link 3;reference;class;subclass;order;alliance;suballiance;community;continent/region;country;location name;decimal longitude;absolute latitude;decimal latitude;altitude [meters above sea level];year of the  data collection;mean yearly air temperature in degrees Celsius;January - mean monthly temp. [degrees Celsius];February - mean monthly temp. [degrees Celsius];March - mean monthly temp. [degrees Celsius];April - mean monthly temp. [degrees Celsius];May - mean monthly temp. [degrees Celsius];June - mean monthly temp. [degrees Celsius];July - mean monthly temp. [degrees Celsius];August - mean monthly temp. [degrees Celsius];September - mean monthly temp. [degrees Celsius];October - mean monthly temp. [degrees Celsius];November - mean monthly temp. [degrees Celsius];December - mean monthly temp. [degrees Celsius];total yearly  pecipitation in mm;January - total precipitation;February - total precipitation;March - total precipitation;April - total precipitation;May - total precipitation;June - total precipitation;July - total precipitation;August - total precipitation;September - total precipitation;October - total precipitation;November - total precipitation;December - total precipitation;flowering start;flowering end;flowering peak;flowering peak 2 (if occured);flowering lenght;total number of plants per m^2;total number of trees examined;total number of flowers per m^2;total number of inflorescenses per m^2;total number of flowers per m^2 of crown surface;total number of inflorescenses per m^2 of crown surface;total number of flowers per a single tree;total number of flowers per plant;total number of inflorescenses per a single tree;total number of inflorescenses per plant;tree age;mean number of flowering flowers per m^2 per day;peak number of flowering flowers per m^2;flower longevity [days];total nectar in µg per flower;total nectar in µL per flower;nectar in µg/flower/day ;nectar in µL/flower/day ;nectar in µg/inflorescence/day ;sugar concentration % in nectar;total sugar in µg per flower;sugar in µg/flower/day;total sugar in mg per inflorescence;sugar in µg/inflorescence/day;sugar yield in kg/ha per 1 year;sugar yield in g per tree per 1 year;sugar yield in g per 1 m^3 of the tree crown;honey yield in kg/ha per 1 year;honey yield from 1 flower in mg per 1 year;honey yield in g per 1 m^3 of the tree crown;honey yield in kg/tree per 1 year;total pollen yield per 1 year in kg/ha;total pollen yield per 1 year in kg per a single tree;total pollen yield per 1 year in number of grains per a single tree;total pollen in µg/flower;total pollen in µL/flower;total pollen per flower (the number of grains);total pollen in µg/inflorescence;total pollen in µL/inflorescence;total pollen in µg/plant/year;total pollen in number of grains per inflorescence;pollen in µg/flower/day ;pollen in µL/flower/day ;pollen in µL/inflorescence/day ;yearly pollen yield in number of grains per m^2 of the  crown;yearly pollen yield in g per 1 m^3 of the tree crown
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (coniferous or mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Vaccinio-Piceetea;;Piceetalia abietis;Dicrano-Pinion;Dicrano-Pinenion;Querco roboris-Pinetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli calamagrostietosum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Carpinion betuli;;Tilio cordatae-Carpinetum betuli;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00082;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;natural phytocenosis (deciduous forest);Bernadzki et al.. 2009;https://doi.org/10.2307/3237122;;;;;Bernadzki E, Bolibok L, Brzeziecki B, et al. 1998. Compositional dynamics of natural forests in the Bialowieza National Park, northeastern Poland. J Veg Sci 9: 229–38.;Querco-Fagetea;;Fagetalia sylvaticae;Alno-Ulmion;Alnenion glutinoso-incanae;Fraxino-Alnetum;Europe;Poland;Bia³owie¿a Forest;23.50;52.45;52.45;;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;420;;;;;30.02;120.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;560;;;;;34.48;190.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;natural phytocenosis (wetland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70.82;;;;;;;;243.75;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;natural phytocenosis (grassland);Baude et al. 2015a;https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934;Baude et al. 2015b;https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c;;;Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.21;;;;;;;;243.75;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;modelled values;modelled;Baude et al. 2016;https://www.nature.com/articles/nature16532;;;;;Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.;;;;;;;Europe;United Kingdom;Bristol area;-2.59;51.45;51.45;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;91;181;136;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Dmitruk 2019;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.1787;;;;;Dmitruk, M. 2019. Flowering, nectar secretion, and structure of the nectary in the flowers of Acer pseudoplatanus L. Acta Agrobotanica. 72, pp. 1-10 (1787).;;;;;;;Europe;Poland;Lublin;22.49;51.27;51.27;;2011;;;;;;;;;;;;;;;;;;;;;;;;;;;118;146;;;29.0;;;;;;;978929;;;;;;;4.5;1454;;;;;39.83;573.00;;;;;560.00;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Dmitruk 2019;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.1787;;;;;Dmitruk, M. 2019. Flowering, nectar secretion, and structure of the nectary in the flowers of Acer pseudoplatanus L. Acta Agrobotanica. 72, pp. 1-10 (1787).;;;;;;;Europe;Poland;Lublin;22.49;51.27;51.27;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;120;150;;;31.0;;;;;;;1003263;;;;;;;4.5;1827;;;;;34.67;648.00;;;;;650.00;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Dmitruk 2019;https://pbsociety.org.pl/journals/index.php/aa/article/view/aa.1787;;;;;Dmitruk, M. 2019. Flowering, nectar secretion, and structure of the nectary in the flowers of Acer pseudoplatanus L. Acta Agrobotanica. 72, pp. 1-10 (1787).;;;;;;;Europe;Poland;Lublin;22.49;51.27;51.27;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;122;149;;;28.0;;;;;;;1196668;;;;;;;4.5;1587;;;;;37.50;601.00;;;;;730.00;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;900;;;;;37.75;310.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;910;;;;;40.11;360.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;960;;;;;44.05;430.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Haragsim 1977;https://www.apidologie.org/articles/apido/abs/1977/04/Apidologie_0044-8435_1977_8_4_ART0007/Apidologie_0044-8435_1977_8_4_ART0007.html;;;;;Haragsim, O. 1977.  The nectar secretion of maple (Acer platanoides L.) and sycamore (A. pseudoplatanus L.). Apidologie. 8, pp. 363-368.;;;;;;;Europe;Czechia;Dol;14.37;50.21;50.21;;1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;1160;;;;;46.60;540.00;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;data collected in the literature search in 2017-2018;unknown;Pamminger et al. 2019;https://peerj.com/articles/6329/;;;;;Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.50;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;Sapindaceae;Acer;;urban green area;Somme et al. 2016;https://link.springer.com/article/10.1007/s11252-016-0555-z;;;;;Somme, L., Moquet, L., Quinet, M., Vanderplanck, M., Michez, D., Lognay, G., Jacquemart, A.-L. 2016. Food in a row: urban trees offer valuable floral resources to pollinating insects. Urban Ecosystems. 19, pp. 1149-1161.;;;;;;;Europe;Belgium;Brussels;4.31;50.81;50.81;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer sp.;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer sp.;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer sp.;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Kaliszki;20.75;52.36;52.36;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer sp.;Sapindaceae;Acer;;natural phytocenosis (mixed forest);Brzeziecki et al. 2020;https://doi.org/10.26202/sylwan.2020057;;;;;"Struktura i dynamika wielogeneracyj?
nych starodrzewów sosnowych wystêpuj¹cych w obszarach ochrony œcis³ej Kaliszki i Sieraków w Kampinoskim
Parku Narodowym. Czêœæ 1. Zró¿nicowanie gatunkowe, zagêszczenie i pierœnicowe pole przekroju. Sylwan
164 (5): 392?403. DOI: https:// doi.org/10.26202/sylwan.2020057";Vaccinio-Piceetea;;Piceetalia abietis;;;;Europe;Poland;Kampinos National Park - Sieraków;20.81;52.31;52.31;;1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
