"","ID","Shannon","NrSpecies","location","landscape","replicate","bbspecies","bborgan","site"
"1005","24_ZHUC_pB",2.00088262069967,16,"ZH","U","C","B.lapidarius","B","ZH_U"
"1006","25_BERD_pB",0.0697871612909973,2,"BE","R","D","B.lapidarius","B","BE_R"
"1007","25_BEUA_pB",0.868291243573902,4,"BE","U","A","B.lapidarius","B","BE_U"
"1008","25_BEUA_pL",0.130872407566219,3,"BE","U","A","B.lapidarius","L","BE_U"
"1009","25_BEUB_lB",1.95122681896692,13,"BE","U","B","B.pascuorum","B","BE_U"
"1010","25_BEUB_pB",1.79912924206505,9,"BE","U","B","B.lapidarius","B","BE_U"
"1011","25_BSRD_lB",0.184431850788396,3,"BS","R","D","B.pascuorum","B","BS_R"
"1012","25_BSRD_lL",0.187484825475432,2,"BS","R","D","B.pascuorum","L","BS_R"
"1013","25_BSRD_pB",0,1,"BS","R","D","B.lapidarius","B","BS_R"
"1014","25_BSRD_pL",0,1,"BS","R","D","B.lapidarius","L","BS_R"
"1015","25_BSRE_lB",0.069697532087928,2,"BS","R","E","B.pascuorum","B","BS_R"
"1016","25_BSRE_pB",0.735610047882224,3,"BS","R","E","B.lapidarius","B","BS_R"
"1017","25_BSRF_lB",0.360803479147533,3,"BS","R","F","B.pascuorum","B","BS_R"
"1018","25_BSRF_pB",0.633579194021086,4,"BS","R","F","B.lapidarius","B","BS_R"
"1019","25_BSRF_pL",0,1,"BS","R","F","B.lapidarius","L","BS_R"
"1020","25_BSUA_lB",1.22649787523135,7,"BS","U","A","B.pascuorum","B","BS_U"
"1021","25_BSUA_pB",0.690609198200365,2,"BS","U","A","B.lapidarius","B","BS_U"
"1022","25_BSUB_lB",0.312650878133033,4,"BS","U","B","B.pascuorum","B","BS_U"
"1023","25_BSUB_lL",0.0755651291095438,2,"BS","U","B","B.pascuorum","L","BS_U"
"1024","25_BSUB_pB",0,1,"BS","U","B","B.lapidarius","B","BS_U"
"1025","25_BSUC_lB",1.22800210059258,7,"BS","U","C","B.pascuorum","B","BS_U"
"1026","25_BSUC_pB",0.211770650022429,2,"BS","U","C","B.lapidarius","B","BS_U"
"1027","25_ZHRD_lB",0,1,"ZH","R","D","B.pascuorum","B","ZH_R"
"1028","25_ZHRD_lL",0,1,"ZH","R","D","B.pascuorum","L","ZH_R"
"1029","25_ZHRD_pB",1.54770057989259,9,"ZH","R","D","B.lapidarius","B","ZH_R"
"1030","25_ZHRE_lB",1.29903632866575,6,"ZH","R","E","B.pascuorum","B","ZH_R"
"1031","25_ZHRE_pB",1.09923473695983,6,"ZH","R","E","B.lapidarius","B","ZH_R"
"1032","25_ZHRE_pL",0.567629600605815,4,"ZH","R","E","B.lapidarius","L","ZH_R"
"1033","25_ZHRF_lB",0.82749086039469,4,"ZH","R","F","B.pascuorum","B","ZH_R"
"1034","25_ZHRF_pB",0.501785247362446,4,"ZH","R","F","B.lapidarius","B","ZH_R"
