Taxon_Id,Species,occ,Years (min),Years (max)
1003260,Ambrosia trifida L.,5,1901,1901
1003280,Amelanchier lamarckii F. G. Schroed.,9,2012,2015
1003290,Amelanchier ovalis Medik.,1,2019,2019
1003300,Ammi majus L.,22,2015,2020
1003320,Amorpha fruticosa L.,1,2020,2020
1003350,Anacamptis pyramidalis (L.) Rich.,5,2004,2022
1003351,Anacamptis pyramidalis (L.) Rich. subsp. pyramidalis,2,2020,2022
1003380,Anagallis arvensis L.,26,1892,2022
1003400,Anagallis minima (L.) E. H. L. Krause,1,1911,1966
1003460,Anchusa italica Retz.,1,2016,2016
1003480,Anchusa officinalis L.,7,2013,2016
1003490,Andromeda polifolia L.,0,1966,1966
1003710,Anemone apennina L.,8,2013,2021
1003730,Anemone blanda Schott & Kotschy,7,2013,2016
1003760,Anemone narcissiflora L.,1,2020,2020
1003770,Anemone nemorosa L.,79,1820,2022
1003780,Anemone ranunculoides L.,31,1966,2022
1003800,Anethum graveolens L.,8,2012,2016
1003820,Angelica sylvestris L.,34,1899,2021
1003850,Antennaria dioica (L.) Gaertn.,1,1880,1982
1003870,Anthemis arvensis L.,3,1894,1936
1003890,Anthemis cotula L.,1,1890,1966
1003900,Anthemis tinctoria L.,19,2012,2020
1003930,Anthericum ramosum L.,2,1966,2016
1003970,Anthoxanthum odoratum L.,60,1982,2022
1003960,Anthoxanthum odoratum aggr.,68,1952,2022
1004000,Anthriscus nitida (Wahlenb.) Hazsl.,7,2015,2021
1004010,Anthriscus sylvestris (L.) Hoffm.,41,1982,2022
1004070,Anthyllis vulneraria L.,48,1982,2022
1004080,Anthyllis vulneraria L. subsp. vulneraria,5,1982,2020
1004090,Anthyllis vulneraria subsp. alpestris (Schult.) Asch. & Graebn.,1,2019,2019
1004100,Anthyllis vulneraria subsp. carpatica (Pant.) Nyman,8,1982,2021
1004180,Antirrhinum majus L.,7,1892,2020
1004200,Apera spica-venti (L.) P. Beauv.,5,1876,2016
1004210,Aphanes arvensis L.,20,1982,2020
1004310,Aquilegia atrata W. D. J. Koch,36,1899,2020
1004330,Aquilegia vulgaris L.,44,1883,2022
1004340,Arabidopsis thaliana (L.) Heynh.,28,1899,2021
1004360,Arabis alpina L.,9,1911,2020
1004370,Arabis alpina L. subsp. alpina,1,1966,1992
1004380,Arabis alpina subsp. caucasica (Willd.) Briq.,4,2012,2016
1004440,Arabis ciliata Clairv.,1,2014,2014
1004460,Arabis hirsuta (L.) Scop.,9,1982,2022
1004470,Arabis hirsuta aggr.,14,1982,2022
1004610,Arctium lappa L.,21,1982,2021
1004620,Arctium minus Bernh.,7,1985,2021
1004630,Arctium minus Bernh. subsp. minus,5,1995,2016
1004650,Arctium nemorosum Lej.,3,2014,2020
1004670,Arctium tomentosum Mill.,1,1890,1890
1004700,Aremonia agrimonoides (L.) DC.,2,2013,2013
1004770,Arenaria leptoclados (Rchb.) Guss.,11,2012,2016
1004810,Arenaria serpyllifolia L.,23,1899,2020
1004800,Arenaria serpyllifolia aggr.,45,1899,2020
1004830,Aristolochia clematitis L.,1,2014,2014
1004900,Armoracia rusticana G. Gaertn. & al.,17,1877,2020
1004930,Arrhenatherum elatius (L.) J. Presl & C. Presl,69,1952,2022
1004950,Artemisia absinthium L.,2,1994,2015
1005150,Artemisia verlotiorum Lamotte,11,1994,2020
1005160,Artemisia vulgaris L.,22,1899,2020
1005170,Arum italicum Mill.,4,2015,2020
1005180,Arum maculatum L.,58,1952,2022
1005190,Aruncus dioicus (Walter) Fernald,24,1982,2022
1005220,Asarum europaeum L.,5,2012,2015
1005240,Asclepias syriaca L.,17,2012,2022
1005260,Asparagus officinalis L.,4,2015,2015
1005320,Asperula cynanchica L.,3,1901,2019
1005315,Asperula cynanchica aggr.,3,1901,2019
1000377,Asplenium ceterach L.,2,1966,2013
1005500,Asplenium ruta-muraria L.,39,1982,2022
1005540,Asplenium septentrionale (L.) Hoffm.,1,1830,1966
1005550,Asplenium trichomanes L.,31,1982,2022
1005600,Asplenium trichomanes subsp. quadrivalens D. E. Mey.,1,2022,2022
1005610,Asplenium viride Huds.,2,1982,2016
1005640,Aster alpinus L.,1,2020,2020
1005680,Aster lanceolatus Willd.,2,2015,2016
1005690,Aster linosyris (L.) Bernh.,2,2014,2015
1005720,Aster novi-belgii L.,5,1899,2016
1005740,Aster parviflorus Nees,1,1894,1894
1005710,Aster novi-belgii aggr.,9,1894,2016
1005880,Astragalus glycyphyllos L.,3,1966,2020
1006020,Astrantia major L.,3,1982,2021
1006090,Athyrium filix-femina (L.) Roth,30,1888,2022
1006120,Atriplex micrantha Ledeb.,2,2012,2012
1006140,Atriplex patula L.,11,1936,2018
